Altium Designer Pick and Place Locations,,,,,,,,
E:\OneDrive - Food Equipment Technologies Company\CONTROLS\CBS-1100-XV+\Design_20170818\Design\Project Outputs for CBS1100\Pick and place files\Pick Place for CBS2100EE(CBS Production PCB).csv,,,,,,,,
,,,,,,,,
========================================================================================================================,,,,,,,,
File Design Information:,,,,,,,,
,,,,,,,,
Date:       29/08/17,,,,,,,,
Time:       12:05,,,,,,,,
Revision:   0,,,,,,,,
Variant:    Production,,,,,,,,
Units used: mil,,,,,,,,
,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,
C15,CAP 10uF 6.3V 0805(2012),BottomLayer,C0805,938,3751,180,CAP 10uF 6.3V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
C14,CAP 100nF 50V 0805(2012),BottomLayer,C0805,938,3647,180,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C13,CAP 1uF 50V 0805(2012),BottomLayer,C0805,1252,1227,270,CAP 1uF 50V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
C9,CAP 100pF 50V 0805(2012),BottomLayer,C0805,538,2463,270,CAP 100pF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C8,CAP 100pF 50V 0805(2012),BottomLayer,C0805,626,3149,270,CAP 100pF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C7,CAP 100pF 50V 0805(2012),BottomLayer,C0805,525,3849,90,CAP 100pF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C6,CAP 4.7uF 50V 0805(2012),BottomLayer,C0805,2117,999,90,CAP 4.7uF 50V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
C5,CAP 100pF 50V 0805(2012),BottomLayer,C0805,628,4270,90,CAP 100pF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C4,CAP 100nF 50V 0805(2012),BottomLayer,C0805,524,4444,90,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C3,CAP 100nF 50V 0805(2012),BottomLayer,C0805,2348,1370,360,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C2,CAP 10uF 6.3V 0805(2012),BottomLayer,C0805,2348,1478,360,CAP 10uF 6.3V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
C1,CAP 1uF 50V 0805(2012),BottomLayer,C0805,767,3887,360,CAP 1uF 50V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
PCB1,1051.00041.00_0-A.3,BottomLayer,PCB_rev,-21139.758,-15309.744,270,Blank PCB,
L5,BLM21AG102SN1D,BottomLayer,L0805,1662,2827,90,"BLM21A Series Chip Ferrite Bead, 1000 Ohm at 100 MHz, 0.28 Ohm at DC, 500 mA",
X1,8.000000 MHz HC49 SMD,BottomLayer,XTAL_SMD,1450.851,2090.863,90,"Crystal 8.000000 MHz, HC49 SMD, ±30PPM, CL 20pF",
R14,390R 5% 0805(2012),BottomLayer,R0805,1287.851,2294.863,90,390R 0.125W 5% 0805 (2012 Metric)  SMD,
C11,CAP 20pF 50V 0805(2012),BottomLayer,C0805,1287.851,2114.863,90,CAP 20pF 50V ±10% 0805 (2012 Metric) Thickness 1mm SMD,
C10,CAP 20pF 50V 0805(2012),BottomLayer,C0805,1287.851,1893.863,270,CAP 20pF 50V ±10% 0805 (2012 Metric) Thickness 1mm SMD,
C22,CAP 100nF 50V 0805(2012),BottomLayer,C0805,1770,2073,270,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C21,CAP 100nF 50V 0805(2012),BottomLayer,C0805,2200,2188,270,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C20,CAP 100nF 50V 0805(2012),BottomLayer,C0805,2188,2716,360,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C19,CAP 100nF 50V 0805(2012),BottomLayer,C0805,1767,2827,90,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C17,CAP 10uF 6.3V 0805(2012),BottomLayer,C0805,1525,2865,180,CAP 10uF 6.3V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
C16,CAP 100nF 50V 0805(2012),BottomLayer,C0805,1525,2758,180,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C12,CAP 100nF 50V 0805(2012),BottomLayer,C0805,1411,2451,180,CAP 100nF 50V ±20% 0805 (2012 Metric) Thickness 1mm SMD,
C18,CAP 10uF 6.3V 0805(2012),BottomLayer,C0805,1822,1646,360,CAP 10uF 6.3V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD,
CN9,NS39-W2P,BottomLayer,FLY2V,240,3832.047,270,"NS39 Series, 2-Pin, PCB Connector, 3.96mm Pitch",
D2,PMEG6010CEH.115,BottomLayer,SOD123_V,510,2925,270,"Schottky Barrier Diode, 60 V, 11 uA, -65 to 150 degC, SOD123F, RoHS",
D3,PMEG6010CEH.115,BottomLayer,SOD123_V,510,2150,270,"Schottky Barrier Diode, 60 V, 11 uA, -65 to 150 degC, SOD123F, RoHS",
Q11,IRLML0060,BottomLayer,SOT-23,635.489,2904.869,180,"N-Channel MOSFET, Ultra Low On-Resistance",
Q12,IRLML0060,BottomLayer,SOT-23,628.489,2124.869,180,"N-Channel MOSFET, Ultra Low On-Resistance",
R27,10k 5% 0805(2012),BottomLayer,R0805,630,2770,360,10k 0.125W 5% 0805 (2012 Metric)  SMD,
R28,10k 5% 0805(2012),BottomLayer,R0805,619,1951,90,10k 0.125W 5% 0805 (2012 Metric)  SMD,
CN10,NS39-W5P,BottomLayer,NS39-W5P-1,240,2992.929,270,"NS39 Series, 5-Pin, PCB Connector, 3.96mm Pitch",
